№;Название;Тикер; ; ;Капит-я млрд руб;EV млрд руб;Выручка;Чистая прибыль;ДД ао, %;ДД ап, %;ДД/ЧП, %;P/E;P/S;P/B;EV/EBITDA;Рентаб. EBITDA;долг/EBITDA;отчет
145;ТГК-14;TGKN;;;9;14;19;1.8;16.8%;;88%;4.9;0.4;1.3;3.8;20%;1.6;LTM-МСФО
146;Саратовский НПЗ;KRKN;;;8;8;14;1.1;0.0%;0.0%;;7.3;0.6;0.2;;;;LTM-РСБУ
147;Окей;OKEY;;;7;39;219;1.7;0.0%;;;4.3;0.0;0.6;1.9;9%;1.6;LTM-МСФО
148;Артген биотех (ИСКЧ);ABIO;;;7;7;2;0.2;0.0%;;;33.0;4.7;-15.8;5.7;76%;-0.4;LTM-МСФО
149;ТНС энерго Марий Эл;MISB;;;6;5;9;1.1;9.9%;10.4%;61%;6.1;0.7;1.7;5.3;10%;-1.6;LTM-МСФО
150;Газпром РнД (Ростовоблгаз);RTGZ;;;6;11;11;0.8;0.0%;;;7.9;0.6;0.3;;;;LTM-РСБУ
151;Рязаньэнергосбыт РЭСК;RZSB;;;6;5;14;0.9;13.8%;;90%;6.6;0.4;3.8;4.7;7%;-1.4;LTM-МСФО
152;Курганская ГК;KGKC;;;6;7;11;0.1;3.3%;11.6%;200%;45.4;0.5;0.7;4.8;14%;1.0;LTM-МСФО
153;Европейская Электротехника;EELT;;;6;6;7;0.7;0.0%;;;7.9;0.8;2.1;5.1;17%;0.5;LTM-МСФО
154;НПО Наука;NAUK;;;5;4;3;0.1;0.7%;;23%;34.6;1.6;2.0;8.2;16%;-1.9;LTM-МСФО
155;Якутскэнерго;YKEN;;;5;63;34;-20.3;0.0%;0.0%;;-0.2;0.1;-0.4;-6.4;-29%;-5.9;LTM-МСФО
156;Ижсталь;IGST;;;5;11;33;3.0;0.0%;0.0%;;1.6;0.1;0.7;2.5;13%;1.4;LTM-МСФО
157;Химпром;HIMC;;;5;9;16;1.2;;0.0%;;3.9;0.3;0.4;3.2;17%;1.6;LTM-МСФО
158;РБК;RBCM;;;5;18;7;-0.1;0.0%;;;-42.2;0.7;-0.3;10.6;26%;8.0;LTM-МСФО
159;КМЗ;KMEZ;;;4;5;6;1.1;0.0%;;;4.1;0.8;0.8;;;;LTM-РСБУ
160;Наука-Связь;NSVZ;;;4;7;9;0.3;0.0%;;;14.8;0.5;1.2;5.7;14%;2.3;LTM-МСФО
161;Звезда;ZVEZ;;;4;7;4;-0.2;0.0%;;;-19.4;1.1;-2.7;;;;LTM-РСБУ
162;Сахалинэнерго;SLEN;;;4;16;15;-9.6;0.0%;;;-0.4;0.3;0.5;2.1;51%;1.6;LTM-МСФО
163;Волгоградэнергосбыт;VGSB;;;4;2;36;2.2;0.0%;0.0%;;1.8;0.1;-2.7;;;;LTM-РСБУ
164;Ставропольэнергосбыт;STSB;;;4;3;27;1.4;0.0%;0.0%;9%;2.7;0.1;1.1;1.9;5%;-0.7;LTM-МСФО
165;КарМани (СТГ);CARM;;;3;12;;0.3;0.0%;;;10.4;;;;;;LTM-МСФО
166;ТЕПЛАНТ восток;PRFN;;;3;3;17;0.4;0.0%;;;7.6;0.2;1.3;4.0;4%;-0.9;LTM-МСФО
167;КЛВЗ Кристалл;KLVZ;;;3;4;4;0.1;1.5%;;44%;30.0;0.9;2.6;;;;LTM-МСФО
168;МГКЛ (Мосгорломбард);MGKL;;;3;5;9;0.4;6.2%;;48%;7.8;0.4;7.2;;;;LTM-МСФО
169;ЮУНК;UNKL;;;3;3;0;-0.3;0.0%;;;-10.8;13.7;0.8;;;;LTM-МСФО
170;Нижнекамскшина;NKSH;;;3;3;12;0.5;0.0%;;;4.9;0.2;0.6;1.5;14%;0.0;LTM-МСФО
171;Нефтекамский автозавод (Нефаз);NFAZ;;;2;5;37;-0.2;0.0%;;;-13.9;0.1;1.4;;;;LTM-РСБУ
172;Россети Томск (ТРК);TORS;;;2;2;10;0.2;3.9%;6.3%;39%;9.6;0.2;0.6;2.5;9%;0.0;LTM-МСФО
173;Саратовэнерго;SARE;;;2;1;28;1.0;0.0%;0.0%;;2.2;0.1;1.2;;;;LTM-РСБУ
174;Генетико;GECO;;;2;2;0;0.0;0.0%;;;-55.9;4.5;3.8;;;;LTM-РСБУ
175;Центральный телеграф;CNTL;;;2;2;1;0.0;0.3%;0.5%;-750%;-2 050.5;1.6;2.4;;;;LTM-РСБУ
176;Калужская сбытовая компания;KLSB;;;2;5;30;0.1;0.0%;;;16.2;0.1;1.6;3.8;5%;2.3;LTM-МСФО
177;Тамбовэнергосбыт;TASB;;;2;2;3;0.1;0.0%;0.0%;;25.0;0.6;5.6;18.7;3%;-2.8;LTM-МСФО
178;Росинтер;ROST;;;2;6;8;0.0;0.0%;;;1 819.7;0.2;-0.6;2.4;34%;1.7;LTM-МСФО
179;Русолово;ROLO;;;2;14;7;-2.4;0.0%;;;-0.7;0.2;0.3;20.6;9%;18.1;LTM-МСФО
180;Магаданэнерго;MAGE;;;2;12;15;-3.5;0.0%;0.0%;;-0.5;0.1;-1.2;-6.3;-13%;-5.4;LTM-МСФО
181;ДЗРД - Донской завод радиодеталей;DZRD;;;2;2;3;-0.9;0.0%;0.0%;;-1.7;0.5;0.9;;;;LTM-МСФО
182;левенгук;LVHK;;;1;2;1;0.0;0.0%;;;-85.3;1.2;2.1;;;;LTM-МСФО
183;Арсагера;ARSA;;;1;1;;0.0;0.0%;;;-69.5;;5.2;;;;LTM-РСБУ
184;ДИОД;DIOD;;;1;1;1;-0.1;7.3%;;-138%;-19.2;2.0;1.3;;;;LTM-МСФО
185;Мордовэнергосбыт;MRSB;;;1;1;8;0.2;13.5%;;56%;4.2;0.1;1.9;;;;LTM-РСБУ
186;Красный котельщик;KRKO;;;1;-2;18;3.0;;0.0%;;0.3;0.1;0.1;-0.7;17%;-1.0;LTM-МСФО
187;ВХЗ;VLHZ;;;1;1;3;0.0;0.0%;;;15.1;0.2;0.9;7.5;5%;2.5;LTM-МСФО
188;Фармсинтез;LIFE;;;0;1;0;-0.3;0.0%;;;-1.6;1.4;2.0;-3.2;-64%;-1.0;LTM-МСФО
189;Костромская сбытовая компания;KTSB;;;0;0;11;0.1;0.0%;0.0%;;7.4;0.0;0.6;;;;LTM-РСБУ
190;Светофор Групп;SVET;;;0;0;1;0.2;0.8%;17.6%;19%;2.1;0.5;0.7;;;;LTM-РСБУ
191;ММЦБ;GEMA;;;0;0;0;0.2;8.6%;;94%;1.1;0.5;0.4;;;;LTM-РСБУ
192;Россети Кубань;KUBE;;;;9;89;11.5;;;;0.0;0.0;0.0;0.3;31%;0.3;LTM-МСФО
193;Косогорский МЗ;KMTZ;;;;2;11;0.5;;;;0.0;0.0;0.0;;;;LTM-РСБУ
194;Монополия;MONO;;;;11;60;-2.7;;;;0.0;0.0;0.0;4.2;5%;4.2;LTM-МСФО
